title,project_name,city,locality,bhk,price_formatted,possession_status,amenities,cta_url,area_sqft,bathrooms,furnishing,address,images_url,summary,price
Office Apartment in Swaroop Aditya Avenue,Swaroop Aditya Avenue,Mumbai,Chembur,Office,₹1.50 Cr,UNDER_CONSTRUCTION,No amenities listed,/project/swaroop-aditya-avenue-ashoknagar-chembur-mumbai-422427,634.0,0.0,UNFURNISHED,"swaroop aditya avenue, sheraton hotel, marol pipeline rd, near itc maratha, kanti nagar, j b nagar, andheri east, mumbai, maharashtra 400099","[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757402417348-9bfc082c0bba270f.jpg""]",,15000000
2BHK Apartment in Marigold miraaya ,Marigold miraaya ,Mumbai,Chembur,2BHK,₹89.00 L,UNDER_CONSTRUCTION,No amenities listed,/project/luxury-marigold-miraaya--ashoknagar-chembur-mumbai-870766,637.76,2.0,UNFURNISHED,"marigold miraaya, purushottam kheraj rd, asha nagar, mulund west, mumbai, maharashtra 400080","[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757403866054-3b21d5295d1b7bce.jpg""]",,8900000
2BHK Apartment in Marigold miraaya ,Marigold miraaya ,Mumbai,Chembur,2BHK,₹1.00 Cr,UNDER_CONSTRUCTION,No amenities listed,/project/luxury-marigold-miraaya--ashoknagar-chembur-mumbai-870766,783.83,2.0,UNFURNISHED,"marigold miraaya, purushottam kheraj rd, asha nagar, mulund west, mumbai, maharashtra 400080","[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757403866054-19520d6cb5866f61.jpg""]",,10000000
2BHK Apartment in Marigold miraaya ,Marigold miraaya ,Mumbai,Chembur,2BHK,₹1.00 Cr,UNDER_CONSTRUCTION,No amenities listed,/project/luxury-marigold-miraaya--ashoknagar-chembur-mumbai-870766,719.46,2.0,UNFURNISHED,"marigold miraaya, purushottam kheraj rd, asha nagar, mulund west, mumbai, maharashtra 400080","[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757403866054-18d491c4116a4a1d.jpg""]",,10000000
3BHK Apartment in Marigold miraaya ,Marigold miraaya ,Mumbai,Chembur,3BHK,₹1.50 Cr,UNDER_CONSTRUCTION,No amenities listed,/project/luxury-marigold-miraaya--ashoknagar-chembur-mumbai-870766,1090.59,3.0,UNFURNISHED,"marigold miraaya, purushottam kheraj rd, asha nagar, mulund west, mumbai, maharashtra 400080","[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757403866055-12dde6891b923a80.jpg""]",,15000000
1BHK Apartment in Balaji Kanha	,Balaji Kanha	,Mumbai,Chembur,1BHK,₹41.90 L,UNDER_CONSTRUCTION,No amenities listed,/project/balaji-kanha--ashoknagar-chembur-mumbai-678207,422.0,1.0,UNFURNISHED,64c5+c63 dombivli east dombivli maharashtra 421301,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757409672775-37d2dedeb898bfd3.jpg""]",,4190000
2BHK Apartment in Balaji Kanha	,Balaji Kanha	,Mumbai,Chembur,2BHK,₹57.70 L,UNDER_CONSTRUCTION,No amenities listed,/project/balaji-kanha--ashoknagar-chembur-mumbai-678207,580.0,2.0,UNFURNISHED,64c5+c63 dombivli east dombivli maharashtra 421301,"[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757409672776-55a3d0d5d7d3bb44.jpg""]",,5770000
2BHK Apartment in Bhoomi antara ,Bhoomi antara ,Mumbai,Chembur,2BHK,₹1.70 Cr,UNDER_CONSTRUCTION,No amenities listed,/project/luxury-bhoomi-antara--ashoknagar-chembur-mumbai-093979,518.71,2.0,UNFURNISHED,"3wg5+chm, 90 feet rd, garodia nagar, ghatkopar east, mumbai, maharashtra 400077","[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757411089520-1fd3665afc1a746a.jpg""]",,17000000
2BHK Apartment in Bhoomi antara ,Bhoomi antara ,Mumbai,Chembur,2BHK,₹2.40 Cr,UNDER_CONSTRUCTION,No amenities listed,/project/luxury-bhoomi-antara--ashoknagar-chembur-mumbai-093979,712.68,2.0,UNFURNISHED,"3wg5+chm, 90 feet rd, garodia nagar, ghatkopar east, mumbai, maharashtra 400077","[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757411089524-f866cded7e572242.jpg""]",,24000000
3BHK Apartment in Bhoomi antara ,Bhoomi antara ,Mumbai,Chembur,3BHK,₹3.70 Cr,UNDER_CONSTRUCTION,No amenities listed,/project/luxury-bhoomi-antara--ashoknagar-chembur-mumbai-093979,1098.46,3.0,UNFURNISHED,"3wg5+chm, 90 feet rd, garodia nagar, ghatkopar east, mumbai, maharashtra 400077","[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757411089525-9e16be48ea1c5dca.jpg""]",,37000000
1BHK Apartment in Arkade Prime,Arkade Prime,Mumbai,Chembur,1BHK,₹1.20 Cr,UNDER_CONSTRUCTION,No amenities listed,/project/luxury-arkade-prime-ashoknagar-chembur-mumbai-906049,425.39,1.0,UNFURNISHED,"makwana rd, gamdevi, marol, andheri east, mumbai, maharashtra 400059","[""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757411900105-0cd46f586c660d51.jpg""]",,12000000
